#
# conName	cFromPadded	cToPadded	cFromUnpadded	cToUnpadded	type	rName	rFromPadded	rToPadded	rFromUnpadded	rToUnpadded	comment
#
302_c1	14568	14602	14319	14353	HAF4	111-9700000-9720000:14270:fwd	70	104	70	104	
302_c1	14603	15022	14354	14768	HAF3	111-9700000-9720000:14270:fwd	105	524	105	522	
302_c1	14693	14694	14444	14445	R454	111-9700000-9720000:14270:fwd	195	196	195	197	
302_c1	14820	14821	14570	14571	R454	111-9700000-9720000:14270:fwd	322	323	321	323	
302_c1	14848	14849	14598	14599	R454	111-9700000-9720000:14270:fwd	350	351	350	352	
302_c1	14949	14950	14697	14698	R454	111-9700000-9720000:14270:fwd	451	452	450	452	
302_c1	14997	14603	14745	14354	HAF3	422-9700000-9720000:14764:rev	5	399	5	398	
302_c1	14772	14771	14523	14522	R454	422-9700000-9720000:14764:rev	230	231	227	228	
302_c1	14602	14568	14353	14319	HAF4	422-9700000-9720000:14764:rev	400	434	399	433	
302_c1	14567	14567	14318	14318	HAF3	422-9700000-9720000:14764:rev	435	435	434	434	
302_c1	14566	14467	14317	14218	HAF4	422-9700000-9720000:14764:rev	436	535	435	533	
302_c1	14544	14543	14295	14294	R454	422-9700000-9720000:14764:rev	458	459	457	459	
302_c1	14527	14535	14278	14286	HAF3	443-9700000-9720000:14294:fwd	5	13	5	13	
302_c1	14536	14566	14287	14317	HAF4	443-9700000-9720000:14294:fwd	14	44	14	43	
302_c1	14567	14567	14318	14318	HAF3	443-9700000-9720000:14294:fwd	45	45	44	44	
302_c1	14568	14602	14319	14353	HAF4	443-9700000-9720000:14294:fwd	46	80	45	79	
302_c1	14603	15059	14354	14805	HAF3	443-9700000-9720000:14294:fwd	81	537	80	529	
302_c1	14915	14916	14664	14665	R454	443-9700000-9720000:14294:fwd	393	394	385	387	
302_c1	14929	14930	14678	-1	R454	443-9700000-9720000:14294:fwd	407	408	400	402	
302_c1	14505	14566	14256	14317	HAF4	194-9700000-9720000:14272:fwd	5	66	5	65	
302_c1	14567	14567	14318	14318	HAF3	194-9700000-9720000:14272:fwd	67	67	66	66	
302_c1	14568	14602	14319	14353	HAF4	194-9700000-9720000:14272:fwd	68	102	67	101	
302_c1	14603	15039	14354	14785	HAF3	194-9700000-9720000:14272:fwd	103	539	102	530	
302_c1	14882	14883	14631	14632	R454	194-9700000-9720000:14272:fwd	382	383	376	378	
302_c1	15049	14603	14795	14354	HAF3	62-9700000-9720000:14819:rev	11	457	11	452	
302_c1	14964	14963	14712	14711	R454	62-9700000-9720000:14819:rev	96	97	94	95	
302_c1	14697	14696	14448	14447	R454	62-9700000-9720000:14819:rev	363	364	355	357	
302_c1	14663	14662	14414	14413	R454	62-9700000-9720000:14819:rev	397	398	390	391	
302_c1	14620	14619	14371	14370	R454	62-9700000-9720000:14819:rev	440	441	434	435	
302_c1	14602	14570	14353	14321	HAF4	62-9700000-9720000:14819:rev	458	490	453	485	
302_c1	14611	15156	14362	14901	HAF3	632-9700000-9720000:14378:fwd	5	550	5	543	
302_c1	14811	14812	14561	14562	R454	632-9700000-9720000:14378:fwd	205	206	201	203	
302_c1	14877	14878	14626	14627	R454	632-9700000-9720000:14378:fwd	271	272	265	267	
302_c1	15025	15026	14771	14772	R454	632-9700000-9720000:14378:fwd	419	420	412	414	
302_c1	15051	15052	14797	14798	R454	632-9700000-9720000:14378:fwd	445	446	439	441	
302_c1	14690	15208	14441	14953	HAF3	344-9700000-9720000:14450:fwd	11	529	11	524	
302_c1	14896	14897	14645	14646	R454	344-9700000-9720000:14450:fwd	217	218	214	216	
302_c1	15040	15041	14786	14787	R454	344-9700000-9720000:14450:fwd	361	362	356	358	
302_c1	14762	15125	14513	14871	HAF3	274-9700000-9720000:14529:fwd	5	368	5	362	
302_c1	14940	14941	14688	14689	R454	274-9700000-9720000:14529:fwd	183	184	179	181	
302_c1	15114	15115	14860	14861	R454	274-9700000-9720000:14529:fwd	357	358	351	353	
302_c1	15126	15135	14872	-1	HAF2	274-9700000-9720000:14529:fwd	369	378	363	372	
302_c1	15136	15244	14881	14989	HAF3	274-9700000-9720000:14529:fwd	379	487	373	481	
302_c1	14812	15255	14562	14999	HAF3	294-9700000-9720000:14558:fwd	26	469	26	462	
302_c1	14891	14892	14640	14641	R454	294-9700000-9720000:14558:fwd	105	106	103	105	
302_c1	15045	15046	14791	14792	R454	294-9700000-9720000:14558:fwd	259	260	256	258	
302_c1	15256	15272	15000	15016	HAF2	294-9700000-9720000:14558:fwd	470	486	463	479	
302_c1	15274	15336	15017	15077	HAF3	294-9700000-9720000:14558:fwd	488	550	480	539	
302_c1	14845	15315	14595	15057	HAF3	764-9700000-9720000:14611:fwd	5	475	5	468	
302_c1	15005	15006	14752	14753	R454	764-9700000-9720000:14611:fwd	165	166	161	163	
302_c1	15151	15152	14896	14897	R454	764-9700000-9720000:14611:fwd	311	312	303	305	
302_c1	15188	15189	14933	14934	R454	764-9700000-9720000:14611:fwd	348	349	341	343	
302_c1	15212	15213	14957	14958	R454	764-9700000-9720000:14611:fwd	372	373	366	368	
302_c1	15235	15236	14980	14981	R454	764-9700000-9720000:14611:fwd	395	396	390	392	
302_c1	15316	15320	15058	-1	HAF2	764-9700000-9720000:14611:fwd	476	480	469	473	
302_c1	15321	15403	15062	15142	HAF3	764-9700000-9720000:14611:fwd	481	563	474	553	
302_c1	14865	15135	14614	-1	HAF3	633-9700000-9720000:14630:fwd	5	275	5	272	
302_c1	15002	15003	14749	14750	R454	633-9700000-9720000:14630:fwd	142	143	139	141	
302_c1	15136	15136	14881	14881	HAF2	633-9700000-9720000:14630:fwd	276	276	273	273	
302_c1	15137	15420	14882	15157	HAF3	633-9700000-9720000:14630:fwd	277	560	274	550	
302_c1	15219	15220	14964	14965	R454	633-9700000-9720000:14630:fwd	359	360	356	358	
302_c1	15282	15283	15025	15026	R454	633-9700000-9720000:14630:fwd	422	423	417	419	
302_c1	14913	15426	14662	15163	HAF3	125-9700000-9720000:14678:fwd	5	518	5	504	
302_c1	15012	15013	14759	14760	R454	125-9700000-9720000:14678:fwd	104	105	101	103	
302_c1	15183	15184	14928	14929	R454	125-9700000-9720000:14678:fwd	275	276	271	272	
302_c1	15543	15420	15278	15157	HAF3	591-9700000-9720000:15297:rev	5	128	5	126	
302_c1	15419	15413	-1	15151	HAF2	591-9700000-9720000:15297:rev	129	135	127	133	
302_c1	15412	15019	15150	14765	HAF3	591-9700000-9720000:15297:rev	136	529	134	517	
302_c1	15016	15004	14763	14751	HAF2	591-9700000-9720000:15297:rev	532	544	518	530	
302_c1	15023	15591	14769	15326	HAF3	176-9700000-9720000:14785:fwd	5	573	5	564	
302_c1	15209	15210	14954	14955	R454	176-9700000-9720000:14785:fwd	191	192	187	189	
302_c1	15262	15263	15006	15007	R454	176-9700000-9720000:14785:fwd	244	245	240	242	
302_c1	15370	15372	15110	15111	R454	176-9700000-9720000:14785:fwd	352	354	343	345	
302_c1	15448	15449	15185	15186	R454	176-9700000-9720000:14785:fwd	430	431	420	422	
302_c1	15508	15509	15244	15245	R454	176-9700000-9720000:14785:fwd	490	491	482	483	
302_c1	15062	15125	14808	14871	HAF3	84-9700000-9720000:14824:fwd	5	68	5	66	
302_c1	15126	15135	14872	-1	HAF2	84-9700000-9720000:14824:fwd	69	78	67	76	
302_c1	15136	15411	14881	15149	HAF3	84-9700000-9720000:14824:fwd	79	354	77	349	
302_c1	15176	15177	14921	14922	R454	84-9700000-9720000:14824:fwd	119	120	117	119	
302_c1	15193	15194	14938	14939	R454	84-9700000-9720000:14824:fwd	136	137	135	137	
302_c1	15285	15286	15028	15029	R454	84-9700000-9720000:14824:fwd	228	229	226	228	
302_c1	15412	15419	15150	-1	HAF2	84-9700000-9720000:14824:fwd	355	362	350	357	
302_c1	15420	15627	15157	15362	HAF3	84-9700000-9720000:14824:fwd	363	570	358	563	
302_c1	15683	15321	15418	15062	HAF3	756-9700000-9720000:15437:rev	5	367	5	357	
302_c1	15320	15317	-1	15059	HAF2	756-9700000-9720000:15437:rev	368	371	358	361	
302_c1	15316	15097	15058	14843	HAF3	756-9700000-9720000:15437:rev	372	591	362	576	
302_c1	15692	15134	15427	14880	HAF3	278-9700000-9720000:15454:rev	12	570	12	555	
302_c1	15252	15251	14997	14996	R454	278-9700000-9720000:15454:rev	452	453	440	441	
302_c1	15126	15694	14872	15429	HAF3	404-9700000-9720000:14888:fwd	5	573	5	562	
302_c1	15244	15245	14989	14990	R454	404-9700000-9720000:14888:fwd	123	124	120	122	
302_c1	15291	15292	15034	15035	R454	404-9700000-9720000:14888:fwd	170	171	166	168	
302_c1	15304	15305	15047	15048	R454	404-9700000-9720000:14888:fwd	183	184	179	180	
302_c1	15341	15342	15081	15082	R454	404-9700000-9720000:14888:fwd	220	221	212	213	
302_c1	15424	15425	15161	15162	R454	404-9700000-9720000:14888:fwd	303	304	293	295	
302_c1	15446	15447	15183	15184	R454	404-9700000-9720000:14888:fwd	325	326	318	320	
302_c1	15474	15475	15211	15212	R454	404-9700000-9720000:14888:fwd	353	354	347	349	
302_c1	15828	15232	15559	14977	HAF3	246-9700000-9720000:15578:rev	5	601	5	584	
